customer_id,tenure,contract,customer_satisfaction,num_complaints,num_service_calls,late_payments,monthlycharges,num_services,has_tech_support,churn_probability,predicted_churn,risk_level,contract_display,has_tech_support_label
CUST0000354791,29,month_to_month,3.0,3.0,9,1,88.54,4,0,0.863049,1,High Risk,Month-to-month,No
CUST0000671673,10,month_to_month,1.0,4.0,4,2,117.29,3,0,0.852249,1,High Risk,Month-to-month,No
CUST0000147586,2,month_to_month,3.0,2.0,3,1,63.68,1,0,0.848744,1,High Risk,Month-to-month,No
CUST0000568400,4,month_to_month,3.0,3.0,4,0,57.34,1,0,0.848579,1,High Risk,Month-to-month,No
CUST0000018565,1,month_to_month,3.0,3.0,6,0,96.45,1,0,0.848579,1,High Risk,Month-to-month,No
CUST0000204967,4,month_to_month,3.0,4.0,4,0,73.84,2,0,0.848579,1,High Risk,Month-to-month,No
CUST0000836700,11,month_to_month,2.0,2.0,6,1,75.22,2,0,0.847987,1,High Risk,Month-to-month,No
CUST0000171183,8,month_to_month,1.0,2.0,4,1,123.47,2,0,0.847987,1,High Risk,Month-to-month,No
CUST0000092534,15,month_to_month,2.0,2.0,4,1,59.53,2,0,0.847987,1,High Risk,Month-to-month,No
CUST0000403962,2,month_to_month,6.0,2.0,5,1,95.87,2,0,0.847455,1,High Risk,Month-to-month,No
CUST0000988689,5,month_to_month,4.0,5.0,4,1,121.78,2,0,0.847455,1,High Risk,Month-to-month,No
CUST0000806854,31,one_year,1.0,3.0,8,1,44.88,1,0,0.846073,1,High Risk,One year,No
CUST0000327175,23,one_year,1.0,2.0,4,1,90.67,1,0,0.846073,1,High Risk,One year,No
CUST0000856485,26,one_year,3.0,2.0,4,1,79.67,1,0,0.846073,1,High Risk,One year,No
CUST0000005969,27,one_year,2.0,2.0,4,1,46.53,1,0,0.846073,1,High Risk,One year,No
CUST0000203902,27,one_year,3.0,2.0,5,1,73.84,1,0,0.846073,1,High Risk,One year,No
CUST0000224326,25,one_year,2.0,2.0,4,1,88.41,1,0,0.846073,1,High Risk,One year,No
CUST0000958970,21,one_year,3.0,3.0,4,1,115.26,2,0,0.846073,1,High Risk,One year,No
CUST0000064224,19,one_year,3.0,2.0,6,1,46.04,2,0,0.846073,1,High Risk,One year,No
CUST0000316291,17,one_year,3.0,2.0,4,1,82.9,2,0,0.846073,1,High Risk,One year,No
CUST0000628551,22,one_year,2.0,4.0,6,2,75.68,2,0,0.846073,1,High Risk,One year,No
CUST0000363793,17,one_year,3.0,2.0,4,1,102.69,2,0,0.846073,1,High Risk,One year,No
CUST0000809771,17,one_year,3.0,2.0,5,2,53.11,1,0,0.846073,1,High Risk,One year,No
CUST0000846233,29,one_year,3.0,2.0,4,1,56.31,2,0,0.846073,1,High Risk,One year,No
CUST0000206016,26,one_year,3.0,2.0,7,1,79.24,1,0,0.846073,1,High Risk,One year,No
CUST0000385587,20,one_year,1.0,3.0,6,1,68.06,2,0,0.846073,1,High Risk,One year,No
CUST0000834581,28,one_year,3.0,2.0,4,1,101.22,2,0,0.846073,1,High Risk,One year,No
CUST0000532594,16,one_year,3.0,2.0,5,1,54.33,1,0,0.846073,1,High Risk,One year,No
CUST0000150762,20,one_year,2.0,3.0,6,1,63.61,2,0,0.846073,1,High Risk,One year,No
CUST0000880705,23,one_year,2.0,2.0,6,1,98.78,1,0,0.846073,1,High Risk,One year,No
CUST0000996637,17,one_year,1.0,3.0,9,1,85.39,1,0,0.846073,1,High Risk,One year,No
CUST0000836654,31,one_year,2.0,2.0,5,1,36.68,1,0,0.846073,1,High Risk,One year,No
CUST0000536792,27,one_year,1.0,2.0,4,1,37.21,1,0,0.846073,1,High Risk,One year,No
CUST0000064183,19,one_year,2.0,2.0,4,2,43.06,2,0,0.846073,1,High Risk,One year,No
CUST0000553083,24,one_year,3.0,2.0,4,1,92.89,2,0,0.846073,1,High Risk,One year,No
CUST0000869800,28,one_year,1.0,3.0,4,2,71.08,2,0,0.846073,1,High Risk,One year,No
CUST0000716076,29,one_year,2.0,2.0,4,2,37.92,1,0,0.846073,1,High Risk,One year,No
CUST0000071546,20,one_year,2.0,3.0,5,1,102.82,2,0,0.846073,1,High Risk,One year,No
CUST0000243028,19,one_year,3.0,3.0,5,1,84.07,2,0,0.846073,1,High Risk,One year,No
CUST0000157738,29,one_year,3.0,2.0,4,1,41.16,1,0,0.846073,1,High Risk,One year,No
CUST0000492624,29,one_year,2.0,2.0,4,1,48.79,2,0,0.846073,1,High Risk,One year,No
CUST0000642173,20,one_year,1.0,2.0,4,1,104.64,1,0,0.846073,1,High Risk,One year,No
CUST0000231017,26,one_year,2.0,2.0,4,1,67.51,2,0,0.846073,1,High Risk,One year,No
CUST0000210259,17,one_year,1.0,2.0,4,1,41.05,1,0,0.846073,1,High Risk,One year,No
CUST0000890273,19,one_year,1.0,2.0,7,1,36.79,2,0,0.846073,1,High Risk,One year,No
CUST0000624321,17,one_year,1.0,2.0,4,1,47.13,1,0,0.846073,1,High Risk,One year,No
CUST0000790724,18,one_year,3.0,3.0,5,1,61.63,2,0,0.846073,1,High Risk,One year,No
CUST0000281232,16,one_year,3.0,2.0,5,1,61.16,1,0,0.846073,1,High Risk,One year,No
CUST0000032094,18,one_year,2.0,3.0,4,1,51.28,1,0,0.846073,1,High Risk,One year,No
CUST0000058076,17,one_year,3.0,2.0,5,1,89.93,1,0,0.846073,1,High Risk,One year,No
CUST0000698590,20,one_year,2.0,2.0,4,2,58.74,1,0,0.846073,1,High Risk,One year,No
CUST0000497047,27,one_year,2.0,3.0,5,1,70.26,1,0,0.846073,1,High Risk,One year,No
CUST0000779210,19,one_year,3.0,2.0,6,1,89.34,1,0,0.846073,1,High Risk,One year,No
CUST0000756572,20,one_year,1.0,4.0,4,1,67.91,2,0,0.846073,1,High Risk,One year,No
CUST0000385012,22,one_year,2.0,3.0,4,1,71.08,2,0,0.846073,1,High Risk,One year,No
CUST0000099310,18,one_year,2.0,2.0,5,1,60.59,2,0,0.846073,1,High Risk,One year,No
CUST0000665115,23,one_year,3.0,2.0,4,1,108.55,2,0,0.846073,1,High Risk,One year,No
CUST0000589372,21,one_year,3.0,2.0,7,1,66.51,2,0,0.846073,1,High Risk,One year,No
CUST0000424409,28,one_year,3.0,3.0,7,1,85.5,2,0,0.846073,1,High Risk,One year,No
CUST0000186371,20,one_year,3.0,2.0,8,1,76.08,1,0,0.846073,1,High Risk,One year,No
CUST0000614928,21,one_year,3.0,2.0,4,1,54.33,1,0,0.846073,1,High Risk,One year,No
CUST0000817692,30,one_year,2.0,3.0,7,1,82.16,1,0,0.846073,1,High Risk,One year,No
