customer_id,signup_date,age,gender,annual_income,education,marital_status,dependents,tenure,contract,payment_method,paperless_billing,senior_citizen,monthlycharges,totalcharges,num_services,has_phone_service,has_internet_service,has_online_security,has_online_backup,has_device_protection,has_tech_support,has_streaming_tv,has_streaming_movies,customer_satisfaction,num_complaints,num_service_calls,late_payments,avg_monthly_gb,days_since_last_interaction,credit_score,churn
CUST0000000001,2022_12_12_12_53_58_199463,43,female,55085.25,college,married,1,2,two_year,electronic_check,1,0,67.2,144.39,1,1,1,0,0,1,1,1,1,9.0,0.0,0,0,109.63,16,,0
CUST0000000002,2022_01_13_12_53_58_199973,18,male,60786.11,master,married,1,22,one_year,bank_transfer,1,0,71.54,1602.22,2,0,1,0,1,0,0,0,1,7.0,0.0,3,1,63.25,134,585.0,0
CUST0000000003,2023_09_04_12_53_58_199985,38,female,73184.32,high_school,widowed,0,3,two_year,credit_card,0,0,112.2,328.81,4,1,1,0,0,1,1,1,0,6.0,1.0,1,0,47.77,11,632.0,0
CUST0000000004,2022_06_27_12_53_58_199992,44,male,40923.78,high_school,married,1,6,two_year,bank_transfer,1,0,107.49,643.45,3,1,1,0,0,1,1,0,1,5.0,2.0,2,1,50.82,6,569.0,0
CUST0000000005,2022_12_08_12_53_58_199999,45,female,36400.94,bachelor,single,0,9,two_year,credit_card,1,0,110.05,648.79,3,0,1,0,0,0,0,0,1,8.0,1.0,1,0,16.74,18,657.0,0
CUST0000000006,2023_01_12_12_53_58_200006,55,female,30771.38,master,married,1,47,two_year,credit_card,1,0,71.8,3041.87,2,1,1,0,0,0,0,1,1,8.0,0.0,0,0,24.56,22,702.0,0
CUST0000000007,2021_04_23_12_53_58_200012,47,male,65503.82,college,married,0,26,two_year,electronic_check,1,0,126.85,3602.75,4,1,1,1,1,0,0,1,1,4.0,2.0,3,0,46.36,11,716.0,0
CUST0000000008,2023_03_04_12_53_58_200018,39,male,65039.32,college,single,0,18,one_year,electronic_check,0,0,121.04,2067.41,3,1,1,1,0,0,1,1,0,5.0,2.0,4,0,48.9,106,525.0,0
CUST0000000009,2021_07_18_12_53_58_200023,31,male,37306.25,bachelor,married,0,1,two_year,mailed_check,1,1,77.56,59.52,4,1,1,1,1,1,1,0,1,4.0,,0,0,94.64,28,637.0,0
CUST0000000010,2025_09_12_12_53_58_200029,38,female,40665.2,college,single,0,31,two_year,electronic_check,1,0,72.3,2060.67,1,1,1,0,0,0,1,0,0,5.0,0.0,1,0,11.33,91,850.0,0
CUST0000000011,2024_10_02_12_53_58_200035,54,female,31615.1,high_school,divorced,0,12,two_year,mailed_check,1,1,45.74,504.35,2,0,0,0,0,0,0,1,1,5.0,1.0,1,1,0.0,123,535.0,0
CUST0000000012,2022_08_22_12_53_58_200041,57,female,64892.48,high_school,single,1,38,one_year,electronic_check,1,0,80.55,3187.81,3,1,1,1,1,1,1,0,0,2.0,1.0,1,1,,1,,0
CUST0000000013,2025_02_15_12_53_58_200047,34,female,37552.18,college,married,1,7,two_year,bank_transfer,1,0,106.75,677.3,1,0,1,0,0,1,1,1,1,5.0,0.0,2,1,22.46,26,681.0,0
CUST0000000014,2021_12_21_12_53_58_200053,60,male,40267.77,college,single,0,1,two_year,bank_transfer,0,1,86.04,93.15,1,1,1,1,0,0,1,0,1,3.0,0.0,2,1,39.81,33,655.0,0
CUST0000000015,2025_10_16_12_53_58_200058,53,male,20000.0,college,married,0,48,two_year,mailed_check,1,0,68.84,2985.82,1,1,1,0,0,1,0,0,1,4.0,0.0,1,1,,83,698.0,0
CUST0000000016,2022_03_17_12_53_58_200064,31,female,50638.9,master,married,0,5,two_year,credit_card,0,0,61.18,309.63,1,0,0,0,0,0,0,0,0,1.0,0.0,1,0,0.0,70,572.0,0
CUST0000000017,2022_12_15_12_53_58_200070,48,female,68985.44,college,married,0,12,one_year,mailed_check,1,0,114.93,1493.27,6,0,0,0,0,0,0,1,0,8.0,0.0,0,0,0.0,91,731.0,0
CUST0000000018,2023_08_24_12_53_58_200076,50,female,44614.68,bachelor,married,0,9,one_year,electronic_check,1,0,93.42,767.29,5,1,0,0,0,0,0,1,0,7.0,1.0,4,1,0.0,1,682.0,0
