encoded_feature,correlation_with_churn,abs_correlation_with_churn,feature_family
contract_two_year,-0.12396,0.12396,contract
contract_one_year,0.101061,0.101061,contract
customer_satisfaction_group_satisfaction_1_3,0.080436,0.080436,customer_satisfaction_group
contract_month_to_month,0.079223,0.079223,contract
num_complaints_group_complaints_gt_1,0.06492,0.06492,num_complaints_group
customer_satisfaction_group_satisfaction_7_9,-0.062483,0.062483,customer_satisfaction_group
num_service_calls_group_service_calls_le_3,-0.060786,0.060786,num_service_calls_group
num_service_calls_group_service_calls_gt_3,0.060786,0.060786,num_service_calls_group
num_complaints_group_complaints_le_1,-0.060434,0.060434,num_complaints_group
has_tech_support,-0.045477,0.045477,has_tech_support
late_payments_group_late_0,-0.041223,0.041223,late_payments_group
late_payments_group_late_1_2,0.037382,0.037382,late_payments_group
num_services_group_services_1_2,0.028274,0.028274,num_services_group
num_services_group_services_5_6,-0.022597,0.022597,num_services_group
late_payments_group_late_3_plus,0.021619,0.021619,late_payments_group
num_services_group_services_3_4,-0.014786,0.014786,num_services_group
tenure_group_tenure_32_plus,-0.011372,0.011372,tenure_group
tenure_group_tenure_1_6,0.009132,0.009132,tenure_group
customer_satisfaction_group_satisfaction_4_6,0.004357,0.004357,customer_satisfaction_group
tenure_group_tenure_7_15,0.002431,0.002431,tenure_group
monthlycharges_group_monthly_ge_200,0.000198,0.000198,monthlycharges_group
monthlycharges_group_monthly_lt_200,-0.000198,0.000198,monthlycharges_group
tenure_group_tenure_16_31,3.2e-05,3.2e-05,tenure_group
