,churn,has_tech_support,tenure_group_tenure_16_31,tenure_group_tenure_1_6,tenure_group_tenure_32_plus,tenure_group_tenure_7_15,contract_month_to_month,contract_one_year,contract_two_year,customer_satisfaction_group_satisfaction_1_3,customer_satisfaction_group_satisfaction_4_6,customer_satisfaction_group_satisfaction_7_9,num_complaints_group_complaints_gt_1,num_complaints_group_complaints_le_1,num_service_calls_group_service_calls_gt_3,num_service_calls_group_service_calls_le_3,late_payments_group_late_0,late_payments_group_late_1_2,late_payments_group_late_3_plus,monthlycharges_group_monthly_ge_200,monthlycharges_group_monthly_lt_200,num_services_group_services_1_2,num_services_group_services_3_4,num_services_group_services_5_6
churn,1.0,-0.045477,3.2e-05,0.009132,-0.011372,0.002431,0.079223,0.101061,-0.12396,0.080436,0.004357,-0.062483,0.06492,-0.060434,0.060786,-0.060786,-0.041223,0.037382,0.021619,0.000198,-0.000198,0.028274,-0.014786,-0.022597
has_tech_support,-0.045477,1.0,-0.000376,-0.002006,-0.000457,0.002921,0.000887,-0.001359,0.001115,-6.1e-05,-0.001756,0.001085,0.001024,-0.000924,0.000787,-0.000787,-0.001316,0.001435,-0.000586,-0.000246,0.000246,0.001146,-0.001248,7.7e-05
tenure_group_tenure_16_31,3.2e-05,-0.000376,1.0,-0.335752,-0.345516,-0.318837,0.002405,0.000666,-0.001349,0.001108,0.001053,-0.001836,-0.000503,0.000782,-0.000319,0.000319,-0.000337,9.7e-05,0.001277,0.00152,-0.00152,-0.000171,-0.000588,0.001172
tenure_group_tenure_1_6,0.009132,-0.002006,-0.335752,1.0,-0.34791,-0.321046,-0.001088,5.9e-05,0.000248,-0.000644,-0.000968,0.001407,0.001119,-0.000975,0.001533,-0.001533,-0.001666,0.001675,1.2e-05,-0.002481,0.002481,-0.000779,0.001043,-0.000348
tenure_group_tenure_32_plus,-0.011372,-0.000457,-0.345516,-0.34791,1.0,-0.330382,0.000427,-0.000444,0.000325,-0.000451,5e-05,0.000372,-0.000837,0.001264,-0.001303,0.001303,0.001424,-0.001581,0.000783,0.001174,-0.001174,0.000573,-7.2e-05,-0.000805
tenure_group_tenure_7_15,0.002431,0.002921,-0.318837,-0.321046,-0.330382,1.0,-0.001789,-0.00028,0.000787,-3e-06,-0.000136,4.6e-05,0.000238,-0.001114,0.000109,-0.000109,0.000573,-0.000172,-0.002135,-0.000231,0.000231,0.000379,-0.000394,-3e-06
contract_month_to_month,0.079223,0.000887,0.002405,-0.001088,0.000427,-0.001789,1.0,-0.158052,-0.123937,0.000897,0.000163,-0.000944,-0.000826,0.000933,-0.000826,0.000826,-0.001372,0.001339,0.000224,-0.000857,0.000857,-0.000905,0.000269,0.001036
contract_one_year,0.101061,-0.001359,0.000666,5.9e-05,-0.000444,-0.00028,-0.158052,1.0,-0.960229,0.000552,0.001324,-0.001769,0.000504,-0.0009,-0.000218,0.000218,-0.000657,0.000409,0.001329,-0.000154,0.000154,4.9e-05,-0.000428,0.000576
contract_two_year,-0.12396,0.001115,-0.001349,0.000248,0.000325,0.000787,-0.123937,-0.960229,1.0,-0.000809,-0.001376,0.002045,-0.000273,0.000641,0.000452,-0.000452,0.001048,-0.00079,-0.001399,0.000398,-0.000398,0.000207,0.000354,-0.000871
customer_satisfaction_group_satisfaction_1_3,0.080436,-6.1e-05,0.001108,-0.000644,-0.000451,-3e-06,0.000897,0.000552,-0.000809,1.0,-0.298422,-0.431591,-0.001682,0.001556,-0.00064,0.00064,-0.00118,0.001399,-0.001114,-0.000826,0.000826,3.7e-05,0.000268,-0.000469
customer_satisfaction_group_satisfaction_4_6,0.004357,-0.001756,0.001053,-0.000968,5e-05,-0.000136,0.000163,0.001324,-0.001376,-0.298422,1.0,-0.690628,0.001016,-0.000527,-0.000178,0.000178,0.000932,-0.000742,-0.001032,0.001589,-0.001589,0.000491,-2.7e-05,-0.000745
customer_satisfaction_group_satisfaction_7_9,-0.062483,0.001085,-0.001836,0.001407,0.000372,4.6e-05,-0.000944,-0.001769,0.002045,-0.431591,-0.690628,1.0,0.000156,-0.000315,0.000707,-0.000707,0.000212,-0.000548,0.001768,-0.00084,0.00084,-0.000424,-9.3e-05,0.00082
num_complaints_group_complaints_gt_1,0.06492,0.001024,-0.000503,0.001119,-0.000837,0.000238,-0.000826,0.000504,-0.000273,-0.001682,0.001016,0.000156,1.0,-0.897863,0.298554,-0.298554,0.000367,-9.4e-05,-0.001453,0.001563,-0.001563,-0.001132,0.000118,0.00163
num_complaints_group_complaints_le_1,-0.060434,-0.000924,0.000782,-0.000975,0.001264,-0.001114,0.000933,-0.0009,0.000641,0.001556,-0.000527,-0.000315,-0.897863,1.0,-0.278378,0.278378,-0.000269,-3.9e-05,0.001635,-0.001242,0.001242,-9.8e-05,0.000707,-0.000924
num_service_calls_group_service_calls_gt_3,0.060786,0.000787,-0.000319,0.001533,-0.001303,0.000109,-0.000826,-0.000218,0.000452,-0.00064,-0.000178,0.000707,0.298554,-0.278378,1.0,-1.0,-0.000241,0.000116,0.000668,0.000457,-0.000457,-0.001493,0.000745,0.001249
num_service_calls_group_service_calls_le_3,-0.060786,-0.000787,0.000319,-0.001533,0.001303,-0.000109,0.000826,0.000218,-0.000452,0.00064,0.000178,-0.000707,-0.298554,0.278378,-1.0,1.0,0.000241,-0.000116,-0.000668,-0.000457,0.000457,0.001493,-0.000745,-0.001249
late_payments_group_late_0,-0.041223,-0.001316,-0.000337,-0.001666,0.001424,0.000573,-0.001372,-0.000657,0.001048,-0.00118,0.000932,0.000212,0.000367,-0.000269,-0.000241,0.000241,1.0,-0.982157,-0.127216,-0.000911,0.000911,-0.002121,0.002459,-0.000368
late_payments_group_late_1_2,0.037382,0.001435,9.7e-05,0.001675,-0.001581,-0.000172,0.001339,0.000409,-0.00079,0.001399,-0.000742,-0.000548,-9.4e-05,-3.9e-05,0.000116,-0.000116,-0.982157,1.0,-0.061587,0.000565,-0.000565,0.002224,-0.002284,-6.5e-05
late_payments_group_late_3_plus,0.021619,-0.000586,0.001277,1.2e-05,0.000783,-0.002135,0.000224,0.001329,-0.001399,-0.001114,-0.001032,0.001768,-0.001453,0.001635,0.000668,-0.000668,-0.127216,-0.061587,1.0,0.001857,-0.001857,-0.000477,-0.001005,0.002299
monthlycharges_group_monthly_ge_200,0.000198,-0.000246,0.00152,-0.002481,0.001174,-0.000231,-0.000857,-0.000154,0.000398,-0.000826,0.001589,-0.00084,0.001563,-0.001242,0.000457,-0.000457,-0.000911,0.000565,0.001857,1.0,-1.0,-0.001676,0.000737,0.001553
monthlycharges_group_monthly_lt_200,-0.000198,0.000246,-0.00152,0.002481,-0.001174,0.000231,0.000857,0.000154,-0.000398,0.000826,-0.001589,0.00084,-0.001563,0.001242,-0.000457,0.000457,0.000911,-0.000565,-0.001857,-1.0,1.0,0.001676,-0.000737,-0.001553
num_services_group_services_1_2,0.028274,0.001146,-0.000171,-0.000779,0.000573,0.000379,-0.000905,4.9e-05,0.000207,3.7e-05,0.000491,-0.000424,-0.001132,-9.8e-05,-0.001493,0.001493,-0.002121,0.002224,-0.000477,-0.001676,0.001676,1.0,-0.796349,-0.381397
num_services_group_services_3_4,-0.014786,-0.001248,-0.000588,0.001043,-7.2e-05,-0.000394,0.000269,-0.000428,0.000354,0.000268,-2.7e-05,-9.3e-05,0.000118,0.000707,0.000745,-0.000745,0.002459,-0.002284,-0.001005,0.000737,-0.000737,-0.796349,1.0,-0.255392
num_services_group_services_5_6,-0.022597,7.7e-05,0.001172,-0.000348,-0.000805,-3e-06,0.001036,0.000576,-0.000871,-0.000469,-0.000745,0.00082,0.00163,-0.000924,0.001249,-0.001249,-0.000368,-6.5e-05,0.002299,0.001553,-0.001553,-0.381397,-0.255392,1.0
