customer_id,churn,tenure,contract,customer_satisfaction,num_complaints,num_service_calls,late_payments,monthlycharges,num_services,has_tech_support,tenure_group,contract,customer_satisfaction_group,num_complaints_group,num_service_calls_group,late_payments_group,monthlycharges_group,num_services_group,has_tech_support
CUST0000000001,0,2,two_year,9.0,0.0,0,0,67.2,1,1,tenure_1_6,two_year,satisfaction_7_9,complaints_le_1,service_calls_le_3,late_0,monthly_lt_200,services_1_2,1
CUST0000000002,0,22,one_year,7.0,0.0,3,1,71.54,2,0,tenure_16_31,one_year,satisfaction_7_9,complaints_le_1,service_calls_le_3,late_1_2,monthly_lt_200,services_1_2,0
CUST0000000003,0,3,two_year,6.0,1.0,1,0,112.2,4,1,tenure_1_6,two_year,satisfaction_4_6,complaints_le_1,service_calls_le_3,late_0,monthly_lt_200,services_3_4,1
CUST0000000004,0,6,two_year,5.0,2.0,2,1,107.49,3,1,tenure_1_6,two_year,satisfaction_4_6,complaints_gt_1,service_calls_le_3,late_1_2,monthly_lt_200,services_3_4,1
CUST0000000005,0,9,two_year,8.0,1.0,1,0,110.05,3,0,tenure_7_15,two_year,satisfaction_7_9,complaints_le_1,service_calls_le_3,late_0,monthly_lt_200,services_3_4,0
CUST0000000006,0,47,two_year,8.0,0.0,0,0,71.8,2,0,tenure_32_plus,two_year,satisfaction_7_9,complaints_le_1,service_calls_le_3,late_0,monthly_lt_200,services_1_2,0
CUST0000000007,0,26,two_year,4.0,2.0,3,0,126.85,4,0,tenure_16_31,two_year,satisfaction_4_6,complaints_gt_1,service_calls_le_3,late_0,monthly_lt_200,services_3_4,0
CUST0000000008,0,18,one_year,5.0,2.0,4,0,121.04,3,1,tenure_16_31,one_year,satisfaction_4_6,complaints_gt_1,service_calls_gt_3,late_0,monthly_lt_200,services_3_4,1
CUST0000000009,0,1,two_year,4.0,,0,0,77.56,4,1,tenure_1_6,two_year,satisfaction_4_6,,service_calls_le_3,late_0,monthly_lt_200,services_3_4,1
CUST0000000010,0,31,two_year,5.0,0.0,1,0,72.3,1,1,tenure_16_31,two_year,satisfaction_4_6,complaints_le_1,service_calls_le_3,late_0,monthly_lt_200,services_1_2,1
CUST0000000011,0,12,two_year,5.0,1.0,1,1,45.74,2,0,tenure_7_15,two_year,satisfaction_4_6,complaints_le_1,service_calls_le_3,late_1_2,monthly_lt_200,services_1_2,0
CUST0000000012,0,38,one_year,2.0,1.0,1,1,80.55,3,1,tenure_32_plus,one_year,satisfaction_1_3,complaints_le_1,service_calls_le_3,late_1_2,monthly_lt_200,services_3_4,1
CUST0000000013,0,7,two_year,5.0,0.0,2,1,106.75,1,1,tenure_7_15,two_year,satisfaction_4_6,complaints_le_1,service_calls_le_3,late_1_2,monthly_lt_200,services_1_2,1
CUST0000000014,0,1,two_year,3.0,0.0,2,1,86.04,1,1,tenure_1_6,two_year,satisfaction_1_3,complaints_le_1,service_calls_le_3,late_1_2,monthly_lt_200,services_1_2,1
CUST0000000015,0,48,two_year,4.0,0.0,1,1,68.84,1,0,tenure_32_plus,two_year,satisfaction_4_6,complaints_le_1,service_calls_le_3,late_1_2,monthly_lt_200,services_1_2,0
