,paperless_billing_flag,annual_income_group_income_30_60k,annual_income_group_income_60_90k,annual_income_group_income_gt_90k,annual_income_group_income_lt_30k,education_group_graduate,education_group_non_graduate,contract_month_to_month,contract_one_year,contract_two_year,num_complaints_group_complaints_gt_1,num_complaints_group_complaints_le_1,num_service_calls_group_service_calls_gt_3,num_service_calls_group_service_calls_le_3,late_payments_group_late_0,late_payments_group_late_1_2,late_payments_group_late_3_plus,monthlycharges_group_monthly_ge_200,monthlycharges_group_monthly_lt_200
paperless_billing_flag,1.0,-0.005757,0.003785,0.003256,0.000296,0.005969,-0.005969,-0.007071,0.004775,-0.001395,0.003552,-0.003552,0.002161,-0.002161,-0.004462,0.004497,-1.5e-05,0.00416,-0.00416
annual_income_group_income_30_60k,-0.005757,1.0,-0.447888,-0.369219,-0.438939,0.004612,-0.004612,0.001259,6.6e-05,-0.000726,-0.001812,0.001812,0.004872,-0.004872,-0.003238,0.002936,0.00134,0.003144,-0.003144
annual_income_group_income_60_90k,0.003785,-0.447888,1.0,-0.222758,-0.264821,-0.003104,0.003104,0.001588,0.002606,-0.003599,-0.000661,0.000661,0.001234,-0.001234,-0.004946,0.005611,-0.002602,-0.004156,0.004156
annual_income_group_income_gt_90k,0.003256,-0.369219,-0.222758,1.0,-0.218307,0.003717,-0.003717,0.004671,-0.003299,0.001076,0.001088,-0.001088,-0.003848,0.003848,0.009041,-0.008801,-0.001252,0.002408,-0.002408
annual_income_group_income_lt_30k,0.000296,-0.438939,-0.264821,-0.218307,1.0,-0.005824,0.005824,-0.007327,0.000235,0.003566,0.00191,-0.00191,-0.003761,0.003761,0.00087,-0.001388,0.002114,-0.001794,0.001794
education_group_graduate,0.005969,0.004612,-0.003104,0.003717,-0.005824,1.0,-1.0,-0.004879,0.002192,0.00021,0.005068,-0.005068,0.002077,-0.002077,-0.005751,0.00736,-0.006477,0.000522,-0.000522
education_group_non_graduate,-0.005969,-0.004612,0.003104,-0.003717,0.005824,-1.0,1.0,0.004879,-0.002192,-0.00021,-0.005068,0.005068,-0.002077,0.002077,0.005751,-0.00736,0.006477,-0.000522,0.000522
contract_month_to_month,-0.007071,0.001259,0.001588,0.004671,-0.007327,-0.004879,0.004879,1.0,-0.362995,-0.134801,-0.014218,0.014218,-0.01385,0.01385,0.001199,-0.001027,-0.000747,-0.005715,0.005715
contract_one_year,0.004775,6.6e-05,0.002606,-0.003299,0.000235,0.002192,-0.002192,-0.362995,1.0,-0.874354,-0.005928,0.005928,-0.003503,0.003503,0.005297,-0.00353,-0.007445,0.000372,-0.000372
contract_two_year,-0.001395,-0.000726,-0.003599,0.001076,0.003566,0.00021,-0.00021,-0.134801,-0.874354,1.0,0.013709,-0.013709,0.010939,-0.010939,-0.006257,0.004288,0.008306,0.002581,-0.002581
num_complaints_group_complaints_gt_1,0.003552,-0.001812,-0.000661,0.001088,0.00191,0.005068,-0.005068,-0.014218,-0.005928,0.013709,1.0,-1.0,0.350727,-0.350727,-0.00026,0.000928,-0.002747,0.001116,-0.001116
num_complaints_group_complaints_le_1,-0.003552,0.001812,0.000661,-0.001088,-0.00191,-0.005068,0.005068,0.014218,0.005928,-0.013709,-1.0,1.0,-0.350727,0.350727,0.00026,-0.000928,0.002747,-0.001116,0.001116
num_service_calls_group_service_calls_gt_3,0.002161,0.004872,0.001234,-0.003848,-0.003761,0.002077,-0.002077,-0.01385,-0.003503,0.010939,0.350727,-0.350727,1.0,-1.0,0.005613,-0.005089,-0.002326,0.006099,-0.006099
num_service_calls_group_service_calls_le_3,-0.002161,-0.004872,-0.001234,0.003848,0.003761,-0.002077,0.002077,0.01385,0.003503,-0.010939,-0.350727,0.350727,-1.0,1.0,-0.005613,0.005089,0.002326,-0.006099,0.006099
late_payments_group_late_0,-0.004462,-0.003238,-0.004946,0.009041,0.00087,-0.005751,0.005751,0.001199,0.005297,-0.006257,-0.00026,0.00026,0.005613,-0.005613,1.0,-0.970871,-0.149194,-0.004815,0.004815
late_payments_group_late_1_2,0.004497,0.002936,0.005611,-0.008801,-0.001388,0.00736,-0.00736,-0.001027,-0.00353,0.004288,0.000928,-0.000928,-0.005089,0.005089,-0.970871,1.0,-0.092071,0.0018,-0.0018
late_payments_group_late_3_plus,-1.5e-05,0.00134,-0.002602,-0.001252,0.002114,-0.006477,0.006477,-0.000747,-0.007445,0.008306,-0.002747,0.002747,-0.002326,0.002326,-0.149194,-0.092071,1.0,0.012581,-0.012581
monthlycharges_group_monthly_ge_200,0.00416,0.003144,-0.004156,0.002408,-0.001794,0.000522,-0.000522,-0.005715,0.000372,0.002581,0.001116,-0.001116,0.006099,-0.006099,-0.004815,0.0018,0.012581,1.0,-1.0
monthlycharges_group_monthly_lt_200,-0.00416,-0.003144,0.004156,-0.002408,0.001794,-0.000522,0.000522,0.005715,-0.000372,-0.002581,-0.001116,0.001116,-0.006099,0.006099,0.004815,-0.0018,-0.012581,-1.0,1.0
